Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Overall SVI,Pop2010,OHU2010,NUMGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,lakidshalf,laseniorshalf,lawhitehalf,lablackhalf,laasianhalf,lanhopihalf,laaianhalf,laomultirhalf,lahisphalf,lahunvhalf,lasnaphalf,lapop1,lalowi1,lakids1,laseniors1,lawhite1,lablack1,laasian1,lanhopi1,laaian1,laomultir1,lahisp1,lahunv1,lasnap1,lapop10,lalowi10,lakids10,laseniors10,lawhite10,lablack10,laasian10,lanhopi10,laaian10,laomultir10,lahisp10,lahunv10,lasnap10,lapop20,lalowi20,lakids20,laseniors20,lawhite20,lablack20,laasian20,lanhopi20,laaian20,laomultir20,lahisp20,lahunv20,lasnap20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
2010,48057.0,Calhoun County,Texas,7.3,0.8612,355309,140101,11928.0,30,38,26,24,29,46,1852.6,54,64,42,52,42,12,0,29,113981.0,182590.0,97517.0,46930.0,78425.0,40380.0,312474.0,122840.0,72633.0,47132.0,246100.0,49176.0,3311.0,184.0,1512.0,12191.0,19576.0,8083.0,19948.0,231010.0,86003.0,52593.0,34931.0,190301.0,29671.0,1981.0,132.0,1077.0,7841.0,13414.0,4934.0,13392.0,17184.0,6878.0,3785.0,3318.0,14881.0,1505.0,137.0,3.0,75.0,579.0,1399.0,372.0,1008.0,452.0,182.0,96.0,87.0,299.0,132.0,0.0,0.0,0.0,20.0,23.0,9.0,21.0,132657.0,83073.0,53958.0,276667.0,57780.0,4181.0,205.0,1783.0,14693.0,22611.0,9678.0,22376.0
2010,48071.0,Chambers County,Texas,6.7,0.3381,69311,25885,687.0,3,3,3,1,4,6,236.7,5,5,5,5,5,0,0,4,10499.0,16484.0,9678.0,4223.0,7036.0,3828.0,60947.0,21940.0,15645.0,7646.0,42794.0,13383.0,481.0,24.0,268.0,4002.0,6261.0,1297.0,2475.0,47765.0,16440.0,12044.0,5964.0,34706.0,9384.0,403.0,16.0,217.0,3036.0,4745.0,963.0,1849.0,821.0,395.0,135.0,168.0,579.0,177.0,3.0,0.0,5.0,57.0,74.0,18.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26040.0,17714.0,9000.0,47694.0,16129.0,507.0,31.0,288.0,4662.0,7171.0,1577.0,2904.0
2010,48073.0,Cherokee County,Texas,9.5,0.9542,454628,169396,8271.0,16,16,13,13,19,33,1255.9,46,49,36,39,36,10,0,19,143769.0,224606.0,127884.0,37840.0,64917.0,31346.0,397287.0,127205.0,101248.0,51679.0,327328.0,26116.0,3762.0,150.0,16878.0,23051.0,29916.0,6464.0,15354.0,307864.0,96458.0,77354.0,41847.0,260919.0,14739.0,2492.0,71.0,14270.0,15378.0,18185.0,4288.0,11761.0,15887.0,6495.0,3669.0,2917.0,11948.0,409.0,38.0,2.0,2412.0,1074.0,1312.0,337.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151656.0,115877.0,58073.0,369039.0,33233.0,4672.0,261.0,18748.0,28675.0,37755.0,8103.0,17807.0
2010,51043.0,Clarke County,Virginia,6.8,0.0904,182599,71694,9922.0,19,26,14,16,19,31,1437.8,27,36,21,30,21,6,0,19,60078.0,104318.0,53420.0,31579.0,56191.0,28415.0,152635.0,74365.0,31355.0,17130.0,97797.0,42332.0,4020.0,82.0,382.0,8025.0,11940.0,4692.0,8536.0,102191.0,47270.0,23511.0,11777.0,63057.0,31455.0,1731.0,51.0,268.0,5636.0,8468.0,3013.0,5829.0,6658.0,3164.0,1579.0,1129.0,3381.0,3192.0,7.0,1.0,23.0,52.0,43.0,221.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82909.0,36507.0,20703.0,118469.0,48868.0,5138.0,100.0,480.0,9544.0,14012.0,6290.0,10410.0
2010,48077.0,Clay County,Texas,6.8,0.1254,672264,258704,14305.0,21,38,14,24,29,56,2020.3,73,99,56,82,56,17,0,29,187856.0,373775.0,162929.0,48044.0,103582.0,38230.0,558267.0,166342.0,139992.0,71568.0,486178.0,39304.0,9415.0,690.0,3076.0,19608.0,26564.0,9384.0,23489.0,353996.0,104421.0,89549.0,45960.0,315784.0,21093.0,4683.0,280.0,1786.0,10376.0,13507.0,5001.0,15319.0,24947.0,9817.0,5844.0,4008.0,22009.0,2332.0,47.0,3.0,152.0,401.0,392.0,416.0,1290.0,20.0,3.0,4.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,203312.0,166521.0,87586.0,582158.0,48831.0,11668.0,850.0,3841.0,24916.0,33769.0,12380.0,29032.0
2010,48113.0,Dallas County,Texas,10.1,0.8383,2502987,908068,32304.0,99,263,96,96,120,312,9381.0,193,463,188,458,188,5,0,120,469299.0,1423890.0,460485.0,181354.0,545721.0,176519.0,1519850.0,579311.0,423238.0,139691.0,816769.0,384630.0,74507.0,766.0,9827.0,233355.0,482410.0,34496.0,71255.0,556093.0,211500.0,159838.0,46685.0,291530.0,154635.0,28561.0,265.0,3499.0,77591.0,158124.0,11808.0,27925.0,9087.0,4989.0,2124.0,1640.0,4887.0,4003.0,3.0,7.0,30.0,160.0,122.0,432.0,834.0,273.0,154.0,54.0,51.0,152.0,115.0,0.0,0.0,1.0,3.0,0.0,11.0,21.0,1061587.0,691161.0,224940.0,1362259.0,562976.0,121112.0,1284.0,17519.0,437837.0,910756.0,67533.0,124845.0
2010,48149.0,Fayette County,Texas,7.0,0.3833,761550,305803,24110.0,29,61,26,37,51,88,3365.5,72,125,65,118,65,7,0,51,157379.0,366863.0,144271.0,49304.0,125898.0,44051.0,612790.0,206966.0,136560.0,86164.0,506044.0,72974.0,10666.0,206.0,1469.0,21433.0,24293.0,15303.0,33050.0,377008.0,120715.0,84885.0,54535.0,317933.0,42608.0,4188.0,106.0,905.0,11282.0,13113.0,7616.0,20054.0,13108.0,5253.0,3120.0,2160.0,11144.0,1419.0,21.0,3.0,60.0,458.0,1146.0,214.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255431.0,168620.0,107156.0,624230.0,89285.0,14864.0,282.0,1837.0,31052.0,35759.0,20934.0,41096.0
2010,48159.0,Franklin County,Texas,7.0,0.61,2118803,846148,51971.0,75,173,61,87,127,242,8362.9,185,338,159,312,159,26,0,127,464809.0,1043594.0,427215.0,133912.0,333519.0,119927.0,1614325.0,508440.0,393426.0,198962.0,1286279.0,205510.0,36410.0,765.0,8604.0,76759.0,80488.0,36214.0,77939.0,962739.0,284481.0,236155.0,126037.0,817525.0,83105.0,15420.0,468.0,6759.0,39452.0,43296.0,16483.0,41443.0,38300.0,14112.0,9062.0,6081.0,33262.0,2253.0,93.0,26.0,1638.0,1029.0,1112.0,611.0,1797.0,71.0,18.0,16.0,9.0,69.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,727953.0,508259.0,255889.0,1641384.0,295045.0,51924.0,1083.0,10381.0,118986.0,128360.0,59442.0,115052.0
2010,51067.0,Franklin County,Virginia,7.7,0.5454,2118803,846148,51971.0,75,173,61,87,127,242,8362.9,185,338,159,312,159,26,0,127,464809.0,1043594.0,427215.0,133912.0,333519.0,119927.0,1614325.0,508440.0,393426.0,198962.0,1286279.0,205510.0,36410.0,765.0,8604.0,76759.0,80488.0,36214.0,77939.0,962739.0,284481.0,236155.0,126037.0,817525.0,83105.0,15420.0,468.0,6759.0,39452.0,43296.0,16483.0,41443.0,38300.0,14112.0,9062.0,6081.0,33262.0,2253.0,93.0,26.0,1638.0,1029.0,1112.0,611.0,1797.0,71.0,18.0,16.0,9.0,69.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,727953.0,508259.0,255889.0,1641384.0,295045.0,51924.0,1083.0,10381.0,118986.0,128360.0,59442.0,115052.0
2010,51079.0,Greene County,Virginia,6.8,0.1394,771166,307739,35266.0,21,46,17,28,43,76,3150.9,69,106,56,93,56,13,0,43,172576.0,344446.0,156536.0,53601.0,123556.0,46588.0,636192.0,219757.0,140838.0,93634.0,564313.0,42622.0,7561.0,323.0,2617.0,18757.0,18343.0,13800.0,30154.0,435266.0,139166.0,98092.0,63624.0,385950.0,31986.0,3985.0,156.0,1649.0,11546.0,12014.0,8148.0,20002.0,16070.0,7019.0,3729.0,2434.0,12714.0,3096.0,21.0,1.0,53.0,184.0,180.0,371.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268643.0,167268.0,114171.0,680785.0,51836.0,10661.0,479.0,3316.0,24089.0,22659.0,19372.0,38218.0
2010,48189.0,Hale County,Texas,7.8,0.9653,52033,18119,3136.0,2,4,0,1,2,10,315.2,6,9,2,5,2,4,0,2,10903.0,22671.0,6905.0,4053.0,8698.0,2380.0,42184.0,18592.0,11504.0,5167.0,25717.0,9559.0,146.0,17.0,297.0,6449.0,15794.0,1009.0,2822.0,25562.0,11423.0,6385.0,3213.0,14666.0,8149.0,62.0,2.0,137.0,2545.0,6590.0,600.0,1807.0,4450.0,1903.0,1158.0,685.0,2969.0,1002.0,2.0,2.0,23.0,453.0,1121.0,105.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21182.0,14349.0,6805.0,31936.0,11226.0,177.0,22.0,375.0,8297.0,20409.0,1321.0,3289.0
2010,51089.0,Henry County,Virginia,9.3,0.8415,493701,187422,8137.0,20,27,17,13,20,44,1572.6,51,59,42,50,42,9,0,20,170637.0,248101.0,154443.0,51974.0,82169.0,46762.0,440161.0,140125.0,111730.0,60430.0,331301.0,86127.0,6180.0,172.0,1094.0,15294.0,18005.0,6707.0,21363.0,349631.0,105550.0,87664.0,48597.0,272675.0,61036.0,4130.0,127.0,820.0,10846.0,12638.0,4554.0,15580.0,16194.0,5212.0,3631.0,3131.0,15540.0,244.0,61.0,1.0,55.0,300.0,416.0,239.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160197.0,125392.0,67849.0,368916.0,97734.0,7350.0,206.0,1273.0,18222.0,21833.0,7965.0,24574.0
